Date,Interval,Coverage,AHT,AHT_Predicted,NCO,NCO_Predicted,aba,asa,calc_staff,demand,demand_actual
01/01/2021,8:00 AM,121,300,400,100,120,0.01,200,130,0,10
01/01/2021,8:30 AM,121,400,200,90,80,0.01,200,130,0,10
01/01/2021,9:00 AM,121,400,200,120,80,0.01,200,130,0,10
01/01/2021,9:30 AM,121,400,250,120,80,0.01,200,130,0,10
01/01/2021,10:00 AM,121,250,250,80,80,0.01,200,130,0,10
01/01/2021,10:30 AM,121,250,250,120,90,0.01,200,130,0,10
01/01/2021,11:00 AM,121,250,250,100,90,0.01,200,130,0,10
01/01/2021,11:30 AM,121,250,300,90,90,0.01,200,130,0,10
01/01/2021,12:00 PM,121,250,300,90,90,0.01,200,130,0,10
01/01/2021,12:30 PM,121,250,300,80,100,0.01,200,130,1,28
01/01/2021,1:00 PM,121,250,300,120,100,0.01,200,130,1,28
01/01/2021,1:30 PM,121,250,300,120,100,0.01,200,130,1,28
01/01/2021,2:00 PM,121,250,350,110,100,0.01,200,130,1,28
01/01/2021,2:30 PM,121,250,350,110,100,0.01,200,130,1,28
01/01/2021,3:00 PM,121,250,350,110,100,0.01,200,130,1,28
01/01/2021,3:30 PM,121,400,350,120,100,0.01,200,130,1,28
01/01/2021,4:00 PM,121,300,350,80,110,0.01,200,130,1,28
01/01/2021,4:30 PM,121,300,350,80,110,0.01,200,130,1,28
01/01/2021,5:00 PM,121,400,400,90,120,0.01,200,130,2,32
01/01/2021,5:30 PM,121,400,400,80,120,0.01,200,130,2,32
01/01/2021,6:00 PM,121,300,400,120,120,0.01,200,130,2,32
01/01/2021,6:30 PM,121,400,400,120,120,0.01,200,130,2,32
02/01/2021,8:00 AM,121,300,200,100,80,0.01,200,130,0,10
02/01/2021,8:30 AM,121,400,200,90,80,0.01,200,130,0,10
02/01/2021,9:00 AM,121,400,200,120,80,0.01,200,130,0,10
02/01/2021,9:30 AM,121,400,250,120,80,0.01,200,130,0,10
02/01/2021,10:00 AM,121,250,250,80,80,0.01,200,130,0,30
02/01/2021,10:30 AM,121,250,250,120,90,0.01,200,130,0,30
02/01/2021,11:00 AM,121,250,250,100,90,0.01,200,130,0,30
02/01/2021,11:30 AM,121,250,300,90,90,0.01,200,130,0,40
02/01/2021,12:00 PM,121,250,300,90,90,0.01,200,130,0,40
02/01/2021,12:30 PM,121,250,300,80,100,0.01,200,130,1,40
02/01/2021,1:00 PM,121,250,300,120,100,0.01,200,130,1,40
02/01/2021,1:30 PM,121,250,300,120,100,0.01,200,130,1,40
02/01/2021,2:00 PM,121,250,350,110,100,0.01,200,130,1,42
02/01/2021,2:30 PM,121,250,350,110,100,0.01,200,130,1,42
02/01/2021,3:00 PM,121,250,350,110,100,0.01,200,130,1,42
02/01/2021,3:30 PM,121,400,350,120,100,0.01,200,130,1,42
02/01/2021,4:00 PM,121,300,350,80,110,0.01,200,130,1,42
02/01/2021,4:30 PM,121,300,350,80,110,0.01,200,130,1,42
02/01/2021,5:00 PM,121,400,400,90,120,0.01,200,130,2,42
02/01/2021,5:30 PM,121,400,400,80,120,0.01,200,130,2,45
02/01/2021,6:00 PM,121,300,400,120,120,0.01,200,130,2,45
02/01/2021,6:30 PM,121,400,400,120,120,0.01,200,130,2,45
03/01/2021,8:00 AM,121,300,200,100,80,0.01,200,130,0,10
03/01/2021,8:30 AM,121,400,200,90,80,0.01,200,130,0,10
03/01/2021,9:00 AM,121,400,200,120,80,0.01,200,130,0,10
03/01/2021,9:30 AM,121,400,250,120,80,0.01,200,130,0,10
03/01/2021,10:00 AM,121,250,250,80,80,0.01,200,130,0,10
03/01/2021,10:30 AM,121,250,250,120,90,0.01,200,130,0,10
03/01/2021,11:00 AM,121,250,250,100,90,0.01,200,130,0,15
03/01/2021,11:30 AM,121,250,300,90,90,0.01,200,130,0,15
03/01/2021,12:00 PM,121,250,300,90,90,0.01,200,130,0,15
03/01/2021,12:30 PM,121,250,300,80,100,0.01,200,130,1,15
03/01/2021,1:00 PM,121,250,300,120,100,0.01,200,130,1,15
03/01/2021,1:30 PM,121,250,300,120,100,0.01,200,130,1,15
03/01/2021,2:00 PM,121,250,350,110,100,0.01,200,130,1,15
03/01/2021,2:30 PM,121,250,350,110,100,0.01,200,130,1,15
03/01/2021,3:00 PM,121,250,350,110,100,0.01,200,130,1,15
03/01/2021,3:30 PM,121,400,350,120,100,0.01,200,130,1,15
03/01/2021,4:00 PM,121,300,350,80,110,0.01,200,130,1,15
03/01/2021,4:30 PM,121,300,350,80,110,0.01,200,130,1,15
03/01/2021,5:00 PM,121,400,400,90,120,0.01,200,130,2,35
03/01/2021,5:30 PM,121,400,400,80,120,0.01,200,130,2,35
03/01/2021,6:00 PM,121,300,400,120,120,0.01,200,130,2,35
03/01/2021,6:30 PM,121,400,400,120,120,0.01,200,130,2,35
